NO (cm-1),Toluene,Toluene,T1,T2,T3 MPU,T3 PU,T4 -CSF,T4 -CCF,T4 -F,T5,T7,T9,T10-S,T10-R
2533.31832,99.33796,99.33796,62.144559217621,77.850736828064,94.1849403257451,93.7483796130457,85.9010704279764,89.9992618803748,82.6850060794294,74.9449923529976,94.9373359363366,98.9931934023972,85.0045947219604,89.5924175212602
2536.65566,99.33823,99.33823,62.0563065183818,77.6122200403238,94.471354926244,93.8296665669289,85.6997947548515,90.0114266761073,82.6333191772134,74.8622066749765,94.9379045057692,98.9612011002852,85.0045947219604,89.6138855598591
2539.99299,99.33851,99.33851,61.9664888136819,77.3737032525836,94.7429946312999,93.9109882885427,85.4985190817267,90.0129749228369,82.5762486335228,74.7785651299833,94.938513687304,98.9291899680954,85.7899387370405,89.6374589335954
2543.33033,99.33878,99.33878,61.876671108982,77.1371348661048,94.9799621170968,93.9923100101564,85.3819592968904,89.9825374129552,82.5191780898321,74.6923559840741,94.9390822567366,98.8971976659833,86.1029099905749,89.6632829602145
2546.66767,99.33906,99.33906,61.7857647048312,76.9022983918583,95.1701075875391,94.0735969640396,85.2778365002636,89.9521169167738,82.4574141151124,74.6053843384989,94.9396508261691,98.8652053638713,85.0045947219604,89.6899115509349
2550.00501,99.33945,99.33945,61.6913200274649,76.6674619176117,95.355386170253,94.1549186856534,85.183606493497,89.9001400622804,82.3869534887798,74.5154560615658,94.940260007704,98.8331942316815,86.6024976437323,89.7182839545974
2553.34234,99.33994,99.33994,61.5968753500987,76.4339243775394,95.4576837364219,94.2362056395366,85.2090366435085,89.8222343284916,82.3164731421487,74.4251076317556,94.9408285771366,98.8012019295694,86.7975377002828,89.747042690802
2556.67968,99.34043,99.34043,61.5020224104383,76.2023352387284,95.5599813025909,94.3175273611503,85.2344549600393,89.7443285947027,82.2346930645105,74.3298574183783,94.9414377586714,98.7691907973796,86.9608270499529,89.7764606733628
2560.01702,99.34093,99.34093,61.4053322904546,75.9706919776601,95.5988350960319,94.3988143150336,85.3357495547802,89.6444071326931,82.1437036074999,74.2338135828996,94.9420063281039,98.7371984952676,87.0949575871819,89.8058396682359
2563.35435,99.34142,99.34142,61.3086421704708,75.740564139795,95.6081507140707,94.4801360366473,85.6285572010734,89.5330354503647,82.0527141504894,74.1326034231535,94.9426155096388,98.7051873630778,87.202521206409,89.835204485768
2566.69169,99.34191,99.34191,61.2116118319086,75.5143872267099,95.5914476483104,94.5614577582611,85.9213530138859,89.4216637680362,81.9378236917674,74.0301483659935,94.9431840790714,98.6731950609657,85.0045947219604,89.8636016997773
2570.02903,99.34241,99.34241,61.1126762693074,75.2881561913675,95.5174570162567,94.6427447121443,86.4830291750283,89.2908624399365,81.8152225963546,73.9241297899864,94.9437526485039,98.6412027588537,87.3463713477851,89.891577137892
2573.36637,99.3429,99.3429,61.0137407067062,75.0628993566558,95.4434547687193,94.724066433758,87.3233009721503,89.1569816320779,81.6926215009418,73.8152790723628,94.9443618300387,98.6091916266638,87.385897737983,89.9184892754323
2576.7037,99.34339,99.34339,60.9144649255265,74.8433794812136,95.3105271716672,94.8053533876412,88.1635727692723,89.0223181940043,81.5268526722399,73.7018066730902,94.9449303994713,98.5771993245518,87.4059849198869,89.9437249424001
2580.04104,99.31559,99.31559,60.8134200077391,74.6238596057713,95.1739639281736,94.886675109255,86.681370144941,88.8768680699246,81.3591512542907,73.5850197344533,94.9455395810062,98.545188192362,87.4085768143261,89.9677165476958
2583.37838,98.59544,98.59544,60.712307046236,74.4043938525863,95.0116607724931,94.8930376039344,84.1965758688076,88.7314179458449,81.183975843232,73.464918256452,94.9461081504387,98.5131958902499,87.3956173421301,89.9882417931186
2586.71572,97.87529,97.87529,60.610989953586,74.1885542906376,94.8298436039632,94.8528808752197,81.7117815926741,88.5856275477586,80.9690443105147,73.3412065759505,94.9467173319736,98.4811847580601,87.3684024505184,90.0074946221873
2590.05305,97.15514,97.15514,60.5075635057497,73.9727147286889,94.6420444612563,94.8126893787744,81.9455638372655,88.4389694509559,80.7541324980957,73.2153007637571,94.9472859014061,98.4491924559481,85.0045947219604,90.0231145076265
2593.39039,96.435,96.435,60.4041370579135,73.756821044483,94.4301083431322,94.7725326500597,82.4619651012725,88.2922943404527,80.5264616525849,73.0863293916821,94.9478544708387,98.417200153836,85.0045947219604,90.0362781687386
2596.72773,96.30518,96.30518,60.3007106100772,73.5468808085756,94.2181722250081,94.7323411536144,82.9668050546414,88.1491070385163,80.2760335826723,72.9562842955877,94.9484636523735,98.3851890216462,85.0045947219604,90.0467091473744
2600.06507,96.81813,96.81813,60.197284162241,73.3377524065271,93.9910546695066,94.6921844248996,83.378255178373,88.009747819153,80.0256252330581,72.8226756806461,94.9490322218061,98.3531967195342,87.1558671065033,90.0532590789132
2603.4024,97.33108,97.33108,60.0938577144047,73.1285698822212,93.7607196249818,94.6519929284543,83.7897053021046,87.8703715860893,79.7678020512298,72.6884913006506,94.9496414033409,98.3211855873444,85.0045947219604,90.0583203896477
